lr,nf,run,beta,alpha,margin,method,dataset,n_iters,n_tasks,download,exp_name,mem_size,momentum,use_augs,data_root,n_classes,subsample,task_free,wandb_log,batch_size,buffer_neg,eval_every,validation,distill_coef,incoming_neg,mir_head_only,wandb_project,load_best_args,cope_temperature,samples_per_task,buffer_batch_size,supcon_temperature,acc
0.01,20,0,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,7.040000000000001
0.01,20,2,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,6.44
0.01,20,1,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,6.94
0.01,20,0,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,7.140000000000001
0.01,20,2,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,8.040000000000001
0.01,20,1,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,8.760000000000002
0.01,20,0,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,9.32
0.1,20,2,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,4.12
0.1,20,1,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.62
0.1,20,0,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.859999999999999
0.1,20,2,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.1
0.1,20,1,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,4.0600000000000005
0.1,20,0,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.4
0.1,20,1,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.140000000000001
0.1,20,2,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.4799999999999995
