H,lr,run,beta,alpha,margin,method,dataset,n_iters,n_tasks,download,exp_name,mem_size,momentum,use_augs,data_root,n_classes,n_workers,subsample,task_free,wandb_log,batch_size,buffer_neg,eval_every,validation,distill_coef,incoming_neg,mir_head_only,wandb_project,cope_temperature,samples_per_task,buffer_batch_size,supcon_temperature,acc
,0.01,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,37.04
,0.01,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,38.0
,0.05,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,38.54
,0.05,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,38.800000000000004
,0.05,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,36.38
,0.05,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,35.67999999999999
,0.05,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,42.459999999999994
,0.05,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,36.42
,0.05,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,33.26
,0.05,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,36.059999999999995
,0.05,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,38.88
,0.05,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,36.62
